phaseA,phaseB
-0.856346630764305,-1.97854069582055
-0.341119236606719,-0.205674745014587
-0.37048370151812,-0.778643853108427
-1.98840083091057,-0.317239060528388
-1.78337427432881,-1.33956059302276
-1.55591796866201,-1.66652455603229
-2.654211914708,-2.3523483398607
-3.42536593036765,-2.86047609148898
-1.44013401559195,-0.476055202878841
-1.06100626517984,-0.864110372092685
-2.47091321189248,-2.51448498041952
-1.28971712055936,-3.54994907759395
-2.35360114880783,-4.3406551456817
-2.78763426943623,-1.04865948305729
-3.20059205903602,-2.30624023017448
-3.63822305430394,-1.2424806524216
-0.668592729713771,-0.733679184848686
